Const,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Box_Office,Rotten_Tomatoes_Rating,Metacritic_Rating,Rated,Home_Release,Production,Country,Awards_Blurb,Languages,Month Released,Awards
tt0035423,Kate & Leopold,https://www.imdb.com/title/tt0035423/,movie,6.4,118.0,2001.0,"['Comedy', ' Fantasy', ' Romance']",77905.0,2001-12-11,James Mangold,47095453.0,50.0,44.0,PG-13,2002-Jun-11,Miramax Films,USA,Nominated for 1 Oscar. Another 1 win & 4 nominations.,"['English', ' French']",12.0,"{'Oscar.': 1, 'win': 1, 'nominations.': 5}"
tt0065643,The Dirty Mind of Young Sally,https://www.imdb.com/title/tt0065643/,movie,5.2,95.0,1973.0,['Comedy'],226.0,1973-04-20,Bethel Buckalew,,,,X,0,N/A,USA,N/A,['English'],4.0,{}
tt0067716,Schlock,https://www.imdb.com/title/tt0067716/,movie,5.7,80.0,1973.0,"['Comedy', ' Horror', ' Sci-Fi']",1221.0,1973-04-11,John Landis,,71.0,,PG,2001-Oct-02,Jack H. Harris Enterprises,USA,1 win & 1 nomination.,['English'],4.0,"{'win': 1, 'nomination.': 1}"
tt0068156,1776,https://www.imdb.com/title/tt0068156/,movie,7.6,141.0,1972.0,"['Drama', ' Family', ' History', ' Musical']",7588.0,1972-11-09,Peter H. Hunt,,69.0,,G,2002-Jul-02,Sony Pictures Home Entertainment,USA,Nominated for 1 Oscar. Another 1 win & 1 nomination.,['English'],11.0,Could not parse awards
tt0068168,Across 110th Street,https://www.imdb.com/title/tt0068168/,movie,7.0,102.0,1972.0,"['Action', ' Crime', ' Drama', ' Thriller']",4923.0,1972-12-19,Barry Shear,,81.0,,R,2001-Oct-16,MGM,USA,N/A,"['English', ' Italian']",12.0,{}
tt0068280,Black Girl,https://www.imdb.com/title/tt0068280/,movie,7.0,97.0,1972.0,['Drama'],364.0,1972-11-09,Ossie Davis,,,,PG,0,Cinerama,USA,N/A,['English'],11.0,{}
tt0068364,The Cheerleaders,https://www.imdb.com/title/tt0068364/,movie,5.4,84.0,1973.0,"['Comedy', ' Sport']",1128.0,1973-03-31,Paul Glickler,,,,R,2015-Nov-17,Cinemation,USA,N/A,['English'],3.0,{}
tt0068369,Child's Play,https://www.imdb.com/title/tt0068369/,movie,6.0,100.0,1972.0,"['Drama', ' Horror', ' Mystery', ' Thriller']",928.0,1972-12-12,Sidney Lumet,,,,PG,2012-Sep-04,Paramount Pictures,USA,1 nomination.,['English'],12.0,{'nomination.': 1}
tt0068370,Children Shouldn't Play with Dead Things,https://www.imdb.com/title/tt0068370/,movie,5.4,87.0,1972.0,"['Comedy', ' Horror']",3991.0,1972-06-09,Bob Clark,,42.0,,PG,1999-Jun-08,Ambassador Film Distributors,USA,N/A,['English'],6.0,{}
tt0068451,The Day the Clown Cried,https://www.imdb.com/title/tt0068451/,movie,,90.0,1972.0,['Drama'],,,Jerry Lewis,,,,N/A,0,N/A,USA,N/A,['English'],,{}
tt0068452,Deadhead Miles,https://www.imdb.com/title/tt0068452/,movie,5.5,93.0,1972.0,['Comedy'],193.0,1972-01-31,Vernon Zimmerman,,,,R,0,Paramount Pictures,USA,N/A,['English'],1.0,{}
tt0068528,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,https://www.imdb.com/title/tt0068528/,movie,7.5,100.0,1972.0,['Drama'],2092.0,1972-12-20,Paul Newman,,73.0,,PG,0,20th Century Fox,USA,Nominated for 1 Golden Globe. Another 4 wins & 2 nominations.,['English'],12.0,"{'Golden': 1, 'wins': 4, 'nominations.': 3}"
tt0068595,Flesh Gordon,https://www.imdb.com/title/tt0068595/,movie,4.7,78.0,1974.0,"['Comedy', ' Sci-Fi']",3839.0,1974-07-30,"Michael Benveniste, Howard Ziehm",,67.0,,R,2004-Jan-27,N/A,USA,1 nomination.,['English'],7.0,{'nomination.': 1}
tt0068622,Gargoyles,https://www.imdb.com/title/tt0068622/,tvMovie,6.2,74.0,1972.0,['Horror'],2508.0,1972-11-21,Bill Norton,,40.0,,Not Rated,2004-Dec-28,LionsGate Entertainment,USA,Won 1 Primetime Emmy. Another 1 nomination.,['English'],11.0,"{'Primetime': 1, 'nomination.': 1}"
tt0068638,The Getaway,https://www.imdb.com/title/tt0068638/,movie,7.4,123.0,1972.0,"['Action', ' Crime', ' Thriller']",27341.0,1972-12-16,Sam Peckinpah,,86.0,55.0,PG,2005-May-31,Warner Bros. Pictures,USA,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,"['English', ' Spanish']",12.0,Could not parse awards
tt0068644,Go Ask Alice,https://www.imdb.com/title/tt0068644/,tvMovie,6.2,74.0,1973.0,['Drama'],864.0,1973-01-24,John Korty,,,,N/A,2006-Jul-18,American Broadcasting Company,USA,N/A,['English'],1.0,{}
tt0068649,The Gore Gore Girls,https://www.imdb.com/title/tt0068649/,movie,5.3,81.0,1972.0,"['Comedy', ' Crime', ' Horror', ' Mystery']",2160.0,1972-09-22,Herschell Gordon Lewis,,,,X,2000-May-09,Lewis Motion Picture Enterprises,USA,1 nomination.,['English'],9.0,{'nomination.': 1}
tt0068687,The Heartbreak Kid,https://www.imdb.com/title/tt0068687/,movie,6.9,106.0,1972.0,"['Comedy', ' Drama', ' Romance']",3878.0,1972-12-17,Elaine May,,92.0,,PG,2002-Feb-05,Twentieth Century Fox Home Entertainment,USA,Nominated for 2 Oscars. Another 3 wins & 6 nominations.,['English'],12.0,"{'Oscars.': 2, 'wins': 3, 'nominations.': 8}"
tt0068699,High Plains Drifter,https://www.imdb.com/title/tt0068699/,movie,7.5,105.0,1973.0,"['Drama', ' Mystery', ' Western']",48781.0,1973-04-06,Clint Eastwood,,96.0,69.0,R,1998-Feb-24,Universal Pictures,USA,N/A,['English'],4.0,{}
tt0068720,The House Without a Christmas Tree,https://www.imdb.com/title/tt0068720/,tvMovie,8.2,75.0,1972.0,"['Drama', ' Family']",616.0,1972-12-03,Paul Bogart,,,,Unrated,2007-Oct-16,CBS Entertainment (Network),USA,Won 1 Primetime Emmy. Another 1 nomination.,['English'],12.0,"{'Primetime': 1, 'nomination.': 1}"
tt0068762,Jeremiah Johnson,https://www.imdb.com/title/tt0068762/,movie,7.6,108.0,1972.0,"['Adventure', ' Drama', ' Western']",27997.0,1972-05-07,Sydney Pollack,,95.0,75.0,GP,1997-Oct-30,Warner Home Video,USA,1 win & 1 nomination.,"['English', ' Crow', ' French']",5.0,"{'win': 1, 'nomination.': 1}"
tt0068850,Love and Pain and the Whole Damn Thing,https://www.imdb.com/title/tt0068850/,movie,6.8,110.0,1973.0,"['Comedy', ' Drama']",734.0,1973-04-19,Alan J. Pakula,,,,PG,2009-Sep-08,Columbia Pictures,USA,N/A,"['English', ' Spanish']",4.0,{}
tt0068853,The Life and Times of Judge Roy Bean,https://www.imdb.com/title/tt0068853/,movie,7.0,120.0,1972.0,"['Comedy', ' Drama', ' Romance', ' Western']",7121.0,1972-12-01,John Huston,,80.0,,PG,2003-Jun-03,Warner Home Video,USA,Nominated for 1 Oscar. Another 2 nominations.,"['English', ' Spanish']",12.0,"{'Oscar.': 1, 'nominations.': 3}"
tt0068918,Manson,https://www.imdb.com/title/tt0068918/,movie,7.3,83.0,1973.0,"['Documentary', ' Biography', ' Crime']",904.0,1973-01-31,"Robert Hendrickson, Laurence Merrick",,,,R,0,N/A,USA,N/A,['English'],1.0,{}
tt0068931,The Mechanic,https://www.imdb.com/title/tt0068931/,movie,6.9,100.0,1972.0,"['Action', ' Crime', ' Thriller']",12224.0,1972-11-17,Michael Winner,,29.0,51.0,PG,2002-Oct-08,United Artists,USA,N/A,['English'],11.0,{}
tt0069002,The Night Strangler,https://www.imdb.com/title/tt0069002/,tvMovie,7.5,74.0,1973.0,"['Crime', ' Horror', ' Mystery', ' Thriller']",2749.0,1973-01-16,Dan Curtis,,86.0,,Not Rated,1998-Apr-28,ABC Circle Films,USA,1 nomination.,['English'],1.0,{'nomination.': 1}
tt0069087,The Pig Keeper's Daughter,https://www.imdb.com/title/tt0069087/,movie,4.7,92.0,1972.0,['Comedy'],609.0,1972-06-30,Bethel Buckalew,,,,N/A,1995-Aug-01,N/A,USA,N/A,['English'],6.0,{}
